disease,url
Post COVID-19 condition (long COVID),https://www.who.int/news-room/fact-sheets/detail/post-covid-19-condition-(long-covid)
Post-traumatic stress disorder,https://www.who.int/news-room/fact-sheets/detail/post-traumatic-stress-disorder
Pre-eclampsia,https://www.who.int/news-room/fact-sheets/detail/pre-eclampsia
Prequalification of health products,https://www.who.int/news-room/fact-sheets/detail/prequalification-of-medicines-by-who
Preterm birth,https://www.who.int/news-room/fact-sheets/detail/preterm-birth
Primary health care,https://www.who.int/news-room/fact-sheets/detail/primary-health-care
Protecting workers' health,https://www.who.int/news-room/fact-sheets/detail/protecting-workers'-health
Quality health services,https://www.who.int/news-room/fact-sheets/detail/quality-health-services
Rabies,https://www.who.int/news-room/fact-sheets/detail/rabies
Radon,https://www.who.int/news-room/fact-sheets/detail/radon-and-health
Refugee and migrant health,https://www.who.int/news-room/fact-sheets/detail/refugee-and-migrant-health
Refugee and migrant mental health,https://www.who.int/news-room/fact-sheets/detail/refugee-and-migrant-mental-health
Rehabilitation,https://www.who.int/news-room/fact-sheets/detail/rehabilitation
Respiratory syncytial virus (RSV),https://www.who.int/news-room/fact-sheets/detail/respiratory-syncytial-virus-(rsv)
Rheumatic heart disease,https://www.who.int/news-room/fact-sheets/detail/rheumatic-heart-disease
Rheumatoid arthritis,https://www.who.int/news-room/fact-sheets/detail/rheumatoid-arthritis
Rift Valley fever,https://www.who.int/news-room/fact-sheets/detail/rift-valley-fever
Ringworm (tinea),https://www.who.int/news-room/fact-sheets/detail/ringworm-(tinea)
Road traffic injuries,https://www.who.int/news-room/fact-sheets/detail/road-traffic-injuries
Rubella,https://www.who.int/news-room/fact-sheets/detail/rubella
Salmonella (non-typhoidal),https://www.who.int/news-room/fact-sheets/detail/salmonella-(non-typhoidal)
Sand and dust storms,https://www.who.int/news-room/fact-sheets/detail/sand-and-dust-storms
Sanitation,https://www.who.int/news-room/fact-sheets/detail/sanitation
Scabies,https://www.who.int/news-room/fact-sheets/detail/scabies
Schistosomiasis,https://www.who.int/news-room/fact-sheets/detail/schistosomiasis
Schizophrenia,https://www.who.int/news-room/fact-sheets/detail/schizophrenia
Self-care for health and well-being,https://www.who.int/news-room/fact-sheets/detail/self-care-health-interventions
Sepsis,https://www.who.int/news-room/fact-sheets/detail/sepsis
Sexually transmitted infections (STIs),https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis)
Shingles (herpes zoster),https://www.who.int/news-room/fact-sheets/detail/shingles-(herpes-zoster)
Sickle-cell disease,https://www.who.int/news-room/fact-sheets/detail/sickle-cell-disease
Snakebite envenoming,https://www.who.int/news-room/fact-sheets/detail/snakebite-envenoming
Social determinants of health,https://www.who.int/news-room/fact-sheets/detail/social-determinants-of-health
Sodium reduction,https://www.who.int/news-room/fact-sheets/detail/sodium-reduction
Soil-transmitted helminth infections,https://www.who.int/news-room/fact-sheets/detail/soil-transmitted-helminth-infections
Spinal cord injury,https://www.who.int/news-room/fact-sheets/detail/spinal-cord-injury
Sporotrichosis,https://www.who.int/news-room/fact-sheets/detail/sporotrichosis
Stroke,https://www.who.int/news-room/fact-sheets/detail/stroke
Substandard and falsified medical products,https://www.who.int/news-room/fact-sheets/detail/substandard-and-falsified-medical-products
Sugars and dental caries,https://www.who.int/news-room/fact-sheets/detail/sugars-and-dental-caries
Suicide,https://www.who.int/news-room/fact-sheets/detail/suicide
Syphilis,https://www.who.int/news-room/fact-sheets/detail/syphilis
Taeniasis/cysticercosis,https://www.who.int/news-room/fact-sheets/detail/taeniasis-cysticercosis
Tetanus,https://www.who.int/news-room/fact-sheets/detail/tetanus
The top 10 causes of death,https://www.who.int/news-room/fact-sheets/detail/the-top-10-causes-of-death
Tobacco,https://www.who.int/news-room/fact-sheets/detail/tobacco
Trachoma,https://www.who.int/news-room/fact-sheets/detail/trachoma
